col num,field,field_type,description,possible_values,notes
0,stop_id,int64,unique identifer for stop,,
,ori,str,agency originating identifier,CA0371100 is the SDPD ORI,Removed
,agency,str,agency,SD,Removed
1,exp_years,int64,officer years of experience in law enforcement,,
2,stopdate,datetime64[ns],date  stop occurred,,
3,stoptime,str,time stop began,,
4,stopduration,int64,duration of time for stop in minutes,,
5,stop_in_response_to_cfs,int64,was the stop made in response to a call for service?,"0 = No, 1 = Yes",
6,officer_assignment_key,int64,type of officer assignment at time of stop (code),see assignment attribute for descriptions of codes,
7,assignment,str,type of officer assignment at time of stop (description),https://oag.ca.gov/sites/all/files/agweb/pdfs/ripa/stop-data-reg-final-text-110717.pdf?,
,intersection,str,location of stop - intersecting street name,,Removed
8,block,float64,location of stop - hundred block,,
9,land_mark,str,location of stop - landmark,,
10,street,str,location of stop - street name,,
11,highway_exit,str,location of stop - highway exit,,
12,isschool,int64,did stop occur at a school?,"0 = No, 1 = Yes",
13,school_name,str,name of school where stop occurred,,
14,cityname,str,name of city where stop occurred,,
15,beat,int64,location of stop - SDPD beat,http://seshat.datasd.org/pd/pd_beat_neighborhoods_datasd.csv,
16,beat_name,str,location of stop - SDPD beat/neighborhood name,,
17,pid,int64,unique identifer for person on a stop,,
18,isstudent,int64,was person stopped a student?,"0 = No, 1 = Yes",
19,perceived_limited_english,int64,officer's perception that the person stopped has limited or no fluency in English,"0 = No, 1 = Yes",
20,perceived_age,int64,officer's perception of the approximate age of the person stopped,,
21,perceived_gender,str,officer's perception of the gender of the person stopped (description),https://oag.ca.gov/sites/all/files/agweb/pdfs/ripa/stop-data-reg-final-text-110717.pdf?,
22,gender_nonconforming,int64,officer's perception of whether the person stopped is gender nonconforming,"0 = No, 1 = Yes",
23,gend,int64,officer's perception of the gender of the person stopped (code),see perceivedGender attribute for descriptions related to codes,
24,gend_nc,float64,officer's perception of whether the person stopped is gender nonconforming,"No data = No, 5 = Yes",
25,perceived_lgbt,str,"officer's perception of whether the person stopped is lesbian, gay, bisexual or transgender","Yes, No",
